ID,streamId,start,end
0,47,579573,598645
1,47,602965,623637
2,47,650934,655510
3,56,685782,703382
4,56,705910,720662
5,56,724502,728086
6,65,742455,760087
7,65,762743,777975
8,65,780823,784567
9,47,767671,785271
10,47,788215,803159
11,47,812407,816215
12,56,793559,810903
13,56,815703,830680
14,56,843768,847448
15,65,821527,838648
16,65,847448,862456
17,65,870936,874776
18,47,852216,869240
19,47,874328,889592
20,47,897240,901272
21,56,879256,896824
22,56,900824,915929
23,56,920921,924633
24,65,905656,923161
25,65,932601,948409
26,65,956633,961049
27,47,917337,935481
28,47,948857,964409
29,47,973657,978233
30,56,940889,958393
31,56,964825,979993
32,56,989721,993273
33,65,969337,987097
34,65,993529,1008282
35,65,1013818,1018170
36,47,985753,1004314
37,47,1017562,1033178
38,47,1037754,1041434
39,56,1009210,1028090
40,56,1041306,1056090
41,56,1066138,1070362
42,65,1033018,1052186
43,65,1058266,1073722
44,65,1083098,1087514
45,47,1050266,1068218
46,47,1074170,1089338
47,47,1099067,1102619
48,56,1078714,1096315
49,56,1102875,1117659
50,56,1127675,1132155
51,65,1094619,1113723
52,65,1119771,1135323
53,65,1144667,1149083
54,47,1111771,1129243
55,47,1135739,1150971
56,47,1161307,1164859
57,56,1140251,1157883
58,56,1165051,1179868
59,56,1190108,1194300
60,65,1156763,1175387
61,65,1182236,1197052
62,65,1207100,1211612
63,47,1174075,1191228
64,47,1198236,1213340
65,47,1223068,1226588
66,56,1202780,1220860
67,56,1226812,1241756
68,56,1252348,1256540
69,65,1218876,1239196
70,65,1243324,1258204
71,65,1269437,1273853
72,47,1236124,1253500
73,47,1260444,1275677
74,47,1279645,1283293
75,56,1264988,1282909
76,56,1292413,1307229
77,56,1315677,1320285
78,65,1288061,1306813
79,65,1320733,1336285
80,65,1344541,1348989
81,47,1300765,1317853
82,47,1325277,1338941
83,47,1349181,1353021
84,56,1329789,1349021
85,56,1352957,1368094
86,56,1373758,1377502
87,65,1357598,1375326
88,65,1383966,1398718
89,65,1408542,1413022
90,47,1369310,1387582
91,47,1400894,1415678
92,47,1425694,1430110
93,56,1392926,1410366
94,56,1416894,1431998
95,56,1441790,1445343
96,65,1421438,1439102
97,65,1445567,1461311
98,65,1465727,1469631
99,47,1437342,1457631
100,47,1469247,1483999
101,47,1494175,1498463
102,56,1461151,1480511
103,56,1486143,1501023
104,56,1511103,1515519
105,65,1478207,1496127
106,65,1502207,1517471
107,65,1527295,1530847
108,47,1506815,1524703
109,47,1531103,1545888
110,47,1555936,1560256
111,56,1523039,1542976
112,56,1548032,1563552
113,56,1572864,1577312
114,65,1539968,1557408
115,65,1563968,1579168
116,65,1589664,1593664
117,47,1568512,1586336
118,47,1593216,1607968
119,47,1613408,1617088
120,56,1584832,1603488
121,56,1616960,1631745
122,56,1641761,1646049
123,65,1608832,1628737
124,65,1633857,1649249
125,65,1658657,1663105
126,47,1625921,1643329
127,47,1649665,1664865
128,47,1675009,1678561
129,56,1654209,1672065
130,56,1678817,1693601
131,56,1704225,1708417
132,65,1670401,1689121
133,65,1695745,1710593
134,65,1721282,1725698
135,47,1687777,1705665
136,47,1712354,1727458
137,47,1737826,1741346
138,56,1716866,1734690
139,56,1741634,1756418
140,56,1766882,1771362
141,65,1733250,1752034
142,65,1759234,1774850
143,65,1784130,1788578
144,47,1750754,1768386
145,47,1775298,1790466
146,47,1800003,1803523
147,56,1779778,1797858
148,56,1803779,1818595
149,56,1829251,1833571
150,65,1795842,1815011
151,65,1819907,1834915
152,65,1846435,1850883
153,47,1812707,1830147
154,47,1837507,1852803
155,47,1856707,1860227
156,56,1841987,1859875
157,56,1869507,1884451
158,56,1892996,1897412
159,65,1865123,1884067
160,65,1897828,1913508
161,65,1921732,1926148
162,47,1877795,1894788
163,47,1902340,1915876
164,47,1926340,1930180
165,56,1906916,1926180
166,56,1930116,1945252
167,56,1950756,1954500
168,65,1934660,1952260
169,65,1960996,1975940
170,65,1985573,1989957
171,47,1946404,1964644
172,47,1977893,1992709
173,47,2002789,2007237
174,56,1970020,1987461
175,56,1993893,2009093
176,56,2018917,2022501
177,65,1998501,2016293
178,65,2022757,2037509
179,65,2047493,2051653
180,47,2014341,2033093
181,47,2039589,2055205
182,47,2064453,2068902
183,56,2031653,2049573
184,56,2055589,2070918
185,56,2081094,2084550
186,65,2060101,2077958
187,65,2084838,2099590
188,65,2105382,2109542
189,47,2076326,2094854
190,47,2100902,2116134
191,47,2119078,2122374
192,7,2126566,2128422
