ID,streamId,start,end
0,47,528875,547627
1,47,555371,575691
2,47,603308,608556
3,56,638860,656300
4,56,658828,673517
5,56,676525,680365
6,47,664909,682413
7,47,692205,706509
8,47,715885,720077
9,56,688717,707149
10,56,711341,726125
11,56,734829,738669
12,47,723629,740877
13,47,747182,761486
14,47,769454,773646
15,56,742606,761870
16,56,765198,779726
17,56,788782,792654
18,47,777422,794638
19,47,801230,815566
20,47,824047,828335
21,56,796430,814990
22,56,819182,833935
23,56,836495,840079
24,47,832079,849455
25,47,855631,870063
26,47,878895,882799
27,56,844303,862223
28,56,867311,882223
29,56,891215,895023
30,47,886863,904496
31,47,910704,925264
32,47,933488,937424
33,56,899279,917808
34,56,922064,937072
35,56,945840,949456
36,47,941168,958800
37,47,965136,979536
38,47,988273,992273
39,56,953872,971984
40,56,977040,992049
41,56,1001009,1004657
42,47,996241,1013969
43,47,1020465,1034993
44,47,1043377,1047313
45,56,1008881,1027217
46,56,1031761,1046673
47,56,1056369,1059985
48,47,1051537,1069138
49,47,1075570,1090066
50,47,1099346,1103314
51,56,1064178,1082386
52,56,1086994,1102130
53,56,1111826,1115442
54,47,1107346,1125010
55,47,1131442,1145747
56,47,1149651,1153619
57,56,1119986,1138162
58,56,1144531,1159891
59,56,1169395,1173075
60,47,1157651,1175443
61,47,1181875,1196243
62,47,1205843,1210131
63,56,1177331,1196883
64,56,1200435,1214995
65,56,1218611,1222323
66,47,1213779,1231156
67,47,1238516,1253076
68,47,1261716,1265652
69,56,1226740,1244724
70,56,1249844,1264660
71,56,1275220,1279060
72,47,1270036,1287988
73,47,1294964,1309301
74,47,1312469,1316405
75,56,1283252,1301684
76,56,1307669,1322805
77,56,1332213,1335893
78,47,1320469,1338261
79,47,1346293,1360629
80,47,1370549,1374901
81,56,1340629,1358677
82,56,1364533,1378997
83,56,1382997,1386742
84,47,1378229,1395734
85,47,1403414,1417814
86,47,1426614,1430582
87,56,1391318,1409430
88,56,1414774,1429654
89,56,1440790,1444726
90,47,1435030,1452822
91,47,1460150,1474551
92,47,1478359,1482295
93,56,1448758,1466871
94,56,1473527,1488311
95,56,1492183,1495895
96,47,1486935,1504855
97,47,1511863,1526263
98,47,1530167,1534423
99,56,1500023,1517911
100,56,1523991,1538999
101,56,1544184,1547800
102,47,1538231,1556152
103,47,1565624,1580024
104,47,1590392,1594680
105,56,1553016,1570968
106,56,1577016,1591864
107,56,1595096,1598712
108,47,1600472,1617848
109,47,1624185,1639161
110,47,1648857,1652313
111,56,1605400,1622680
112,56,1629817,1641433
113,56,1644377,1649049
114,47,1661017,1678393
115,47,1687353,1698553
116,47,1704218,1708090
117,56,1656185,1673657
118,56,1682713,1697849
119,56,1710554,1714010
120,47,1716826,1734426
121,47,1744698,1759482
122,47,1765274,1769178
123,56,1722874,1740154
124,56,1750650,1762362
125,56,1770778,1774234
126,47,1777594,1795131
127,47,1804315,1819867
128,47,1831451,1834907
129,56,1783162,1800539
130,56,1809723,1821243
131,56,1825979,1829915
132,47,1842971,1860987
133,47,1867068,1878716
134,47,1881756,1885852
135,56,1836923,1854363
136,56,1861435,1876252
137,56,1886012,1889468
138,47,1891676,1909308
139,47,1915036,1930812
140,47,1939644,1943036
141,56,1896348,1913756
142,56,1920892,1932540
143,56,1935068,1939932
144,47,1951773,1969181
145,47,1978557,1989789
146,47,2003645,2007069
147,56,1947101,1964605
148,56,1974013,1989341
149,56,1993085,1996957
150,47,2020637,2038622
151,47,2048478,2062270
152,47,2075326,2078718
153,56,2010685,2027966
154,56,2038558,2053406
155,56,2065598,2069502
156,47,2092254,2109919
157,47,2119199,2132831
158,47,2144575,2148031
159,56,2082366,2099838
160,56,2109375,2124063
161,56,2135103,2139007
162,47,2160639,2178175
163,47,2186464,2200448
164,47,2211936,2215424
165,56,2150911,2168447
166,56,2176927,2191520
167,56,2202944,2206848
168,47,2226656,2245216
169,47,2250304,2263840
170,47,2273953,2277409
171,56,2217568,2234976
172,56,2241600,2256576
173,56,2265729,2269633
174,47,2287553,2305441
175,47,2310593,2323873
176,47,2332961,2336385
177,56,2279265,2296801
178,56,2302529,2317761
179,56,2325281,2329121
180,47,2345794,2363746
181,47,2368194,2381570
182,47,2390626,2394050
183,56,2337793,2355234
184,56,2360066,2374562
185,56,2382818,2386722
186,47,2403490,2421762
187,47,2425827,2439619
188,47,2446755,2450243
189,56,2395426,2413058
190,56,2417762,2433155
191,56,2440035,2443939
192,7,2452931,2454371
