ID,streamId,start,end
0,7,525837,544909
1,7,551181,571533
2,7,600430,604814
3,7,611150,628750
4,7,631630,646446
5,7,649230,652878
6,7,655534,673006
7,7,675566,690511
8,7,693743,697519
9,7,700047,717455
10,7,720175,734927
11,7,737775,741583
12,7,744111,761647
13,7,764175,778992
14,7,781360,785136
15,7,787696,805168
16,7,807984,822768
17,7,825168,828976
18,7,832048,849488
19,7,852432,867313
20,7,870385,874161
21,7,876689,894129
22,7,897137,911889
23,7,914289,918097
24,7,920657,938161
25,7,941489,956370
26,7,959506,963314
27,7,966002,983410
28,7,986386,1001202
29,7,1004018,1007794
30,7,1010738,1028210
31,7,1030994,1045843
32,7,1048499,1052307
33,7,1054899,1072467
34,7,1075347,1090163
35,7,1092659,1096403
36,7,1099091,1116659
37,7,1119539,1134388
38,7,1137236,1141012
39,7,1143636,1161076
40,7,1164084,1178900
41,7,1181524,1185300
42,7,1188052,1205620
43,7,1208564,1223413
44,7,1226101,1229845
45,7,1232405,1249813
46,7,1252725,1267477
47,7,1269941,1273685
48,7,1276245,1293909
49,7,1296725,1311542
50,7,1314102,1317878
51,7,1320598,1338230
52,7,1341142,1355990
53,7,1359158,1362934
54,7,1365366,1382966
55,7,1385686,1400503
56,7,1402871,1406615
57,7,1409271,1426871
58,7,1429783,1444599
59,7,1447255,1451063
60,7,1453751,1471383
61,7,1474295,1489112
62,7,1492280,1496056
63,7,1498712,1516248
64,7,1518776,1533688
65,7,1536312,1540056
66,7,1542808,1560312
67,7,1562936,1577753
68,7,1580761,1584537
69,7,1587513,1605113
70,7,1608153,1623001
71,7,1625689,1629433
72,7,1632025,1649593
73,7,1652601,1667482
74,7,1670618,1674426
75,7,1677370,1694874
76,7,1698010,1712794
77,7,1715546,1719322
78,7,1722234,1739834
79,7,1742555,1757307
80,7,1759707,1763515
81,7,1766043,1783387
82,7,1786299,1801147
83,7,1804187,1807931
84,7,1810683,1828315
85,7,1830972,1845788
86,7,1848604,1852380
87,7,1855068,1872540
88,7,1875740,1890524
89,7,1893372,1897180
90,7,1899708,1917340
91,7,1920189,1934973
92,7,1937661,1941437
93,7,1944189,1961597
94,7,1964157,1979005
95,7,1982141,1985917
96,7,1988701,2006110
97,7,2008958,2023774
98,7,2026302,2030014
99,7,2032670,2050206
100,7,2052894,2067678
101,7,2070046,2073822
102,7,2076350,2094079
103,7,2096543,2111359
104,7,2114047,2117823
105,7,2120383,2137791
106,7,2140575,2155391
107,7,2157759,2161567
108,7,2164351,2181888
109,7,2184672,2199488
110,7,2202016,2205792
111,7,2208736,2226144
112,7,2228896,2243712
113,7,2246176,2249920
114,7,2252448,2269921
115,7,2272641,2287393
116,7,2289761,2293569
117,7,2296065,2313537
118,7,2316321,2331105
119,7,2333537,2337313
120,7,2340257,2357730
121,7,2360674,2375522
122,7,2378594,2382306
123,7,2384930,2402434
124,7,2405250,2420098
125,7,2423330,2427074
126,7,2429634,2447203
127,7,2450051,2464867
128,7,2467235,2471043
129,7,2473539,2490883
130,7,2493795,2508579
131,7,2511395,2515171
132,7,2518115,2535492
133,7,2537892,2552740
134,7,2555332,2559076
135,7,2561732,2579268
136,7,2581828,2596580
137,7,2599780,2603556
138,7,2606116,2623717
139,7,2626405,2641157
140,7,2643717,2647461
141,7,2650085,2667621
142,7,2670373,2685221
143,7,2688293,2692069
144,7,2694533,2712038
145,7,2714438,2729190
146,7,2732486,2736262
147,7,2739142,2756838
148,7,2759430,2774278
149,7,2776646,2780454
150,7,2783110,2800647
151,7,2803463,2818247
152,7,2821255,2824999
153,7,2827527,2844967
154,7,2847623,2862503
155,7,2865447,2869223
156,7,2871783,2889320
157,7,2891880,2906696
158,7,2909832,2913576
159,7,2916168,2933896
160,7,2936744,2951496
161,7,2954408,2958152
162,7,2960520,2978057
163,7,2980425,2995273
164,7,2998121,3001929
165,7,3004329,3021705
166,7,3024521,3039401
167,7,3042537,3046281
168,7,3048937,3066538
169,7,3069034,3083882
170,7,3086858,3090634
171,7,3093226,3110730
172,7,3113354,3128202
173,7,3131146,3134954
174,7,3137514,3155019
175,7,3157547,3172331
176,7,3175371,3179179
177,7,3181803,3199179
178,7,3201931,3216683
179,7,3219883,3223691
180,7,3226219,3243852
181,7,3246316,3261132
182,7,3263724,3267532
183,7,3270220,3287532
184,7,3290028,3304908
185,7,3307500,3311308
186,7,3313932,3331565
187,7,3334573,3349325
188,7,3351981,3355757
189,7,3358285,3375853
190,7,3378253,3393037
191,7,3395565,3399341
